id,predict_0,predict_1,predict_2
11066,1,0,0
18000,0,0,1
16964,1,0,0
4795,1,0,0
3392,0,1,0
3795,1,0,0
2881,1,0,0
1903,0,0,1
5245,1,0,0
6726,1,0,0
1311,1,0,0
15795,1,0,0
4315,1,0,0
3393,0,0,1
6764,1,0,0
13039,1,0,0
12331,1,0,0
14276,0,1,0
14638,1,0,0
6573,1,0,0
2222,0,0,1
8824,1,0,0
6360,1,0,0
7553,0,0,1
13760,1,0,0
4284,1,0,0
1356,1,0,0
3410,1,0,0
4830,1,0,0
8998,1,0,0
18052,1,0,0
7539,1,0,0
9529,1,0,0
3656,1,0,0
14238,1,0,0
2682,1,0,0
7312,1,0,0
12971,1,0,0
10735,1,0,0
4050,1,0,0
5943,1,0,0
6482,1,0,0
9746,0,0,1
13320,0,0,1
803,1,0,0
15437,1,0,0
12302,1,0,0
12271,1,0,0
5341,1,0,0
4427,1,0,0
529,1,0,0
2022,1,0,0
14625,1,0,0
2922,0,1,0
16330,0,0,1
12890,1,0,0
2140,1,0,0
13484,1,0,0
12392,1,0,0
2322,0,0,1
567,0,0,1
4436,1,0,0
12156,1,0,0
7508,1,0,0
6184,1,0,0
12213,1,0,0
6458,0,0,1
13967,1,0,0
894,1,0,0
7461,0,1,0
8949,1,0,0
3477,0,1,0
2779,1,0,0
13551,1,0,0
8297,1,0,0
5050,0,1,0
10716,1,0,0
16075,1,0,0
1366,0,1,0
774,1,0,0
7406,1,0,0
2526,1,0,0
9649,1,0,0
16115,0,1,0
14749,1,0,0
14952,1,0,0
4786,0,0,1
16513,1,0,0
2002,1,0,0
4701,1,0,0
7742,1,0,0
5905,1,0,0
685,1,0,0
11857,1,0,0
11628,0,0,1
15024,1,0,0
4168,1,0,0
11914,1,0,0
5293,1,0,0
3374,0,1,0
13055,1,0,0
17759,0,1,0
590,1,0,0
1353,1,0,0
11938,0,0,1
1018,0,0,1
14945,1,0,0
1001,1,0,0
3587,1,0,0
868,1,0,0
9296,0,0,1
12455,1,0,0
17132,1,0,0
10240,1,0,0
3696,0,0,1
10355,0,1,0
2206,0,1,0
14590,1,0,0
13191,1,0,0
5882,1,0,0
12653,0,1,0
1491,0,1,0
1176,1,0,0
11246,1,0,0
14557,0,1,0
4772,0,1,0
17192,1,0,0
10637,1,0,0
3281,1,0,0
3191,1,0,0
672,1,0,0
6301,1,0,0
10309,1,0,0
1734,1,0,0
2990,0,1,0
5746,1,0,0
15289,1,0,0
2971,1,0,0
9771,1,0,0
11253,0,1,0
14576,1,0,0
4688,0,0,1
14469,1,0,0
9298,1,0,0
16099,0,1,0
17316,0,0,1
15212,1,0,0
10691,1,0,0
3805,1,0,0
6418,0,1,0
1158,1,0,0
7768,1,0,0
4834,0,0,1
10914,1,0,0
14606,1,0,0
3220,1,0,0
10433,1,0,0
11251,1,0,0
8084,1,0,0
522,1,0,0
17299,1,0,0
15587,1,0,0
1563,0,0,1
8252,1,0,0
17802,0,0,1
2738,1,0,0
9896,1,0,0
14609,1,0,0
10463,1,0,0
1280,0,1,0
977,0,1,0
979,1,0,0
10908,1,0,0
12569,0,1,0
6078,0,0,1
18339,1,0,0
13799,0,1,0
7193,0,0,1
8243,1,0,0
13622,1,0,0
5885,1,0,0
5768,1,0,0
632,1,0,0
3314,1,0,0
3664,1,0,0
18518,1,0,0
7687,1,0,0
17889,0,1,0
12943,1,0,0
3581,1,0,0
13802,1,0,0
17702,0,1,0
12342,1,0,0
11185,1,0,0
15675,1,0,0
6716,1,0,0
17790,1,0,0
17791,1,0,0
6145,1,0,0
18237,0,1,0
10523,0,1,0
4356,0,1,0
7482,1,0,0
5856,1,0,0
5011,1,0,0
15872,1,0,0
6609,1,0,0
995,1,0,0
4680,1,0,0
18327,1,0,0
8484,1,0,0
16968,1,0,0
8305,1,0,0
7012,1,0,0
13465,1,0,0
8375,1,0,0
15629,0,1,0
12296,1,0,0
458,0,0,1
18124,0,0,1
4430,0,1,0
14443,1,0,0
15275,1,0,0
4470,0,0,1
13831,1,0,0
7696,1,0,0
15172,1,0,0
16647,1,0,0
14209,0,1,0
18121,1,0,0
12144,0,1,0
800,1,0,0
13200,0,1,0
5724,1,0,0
15722,1,0,0
6660,1,0,0
8394,1,0,0
5554,1,0,0
10381,1,0,0
15783,1,0,0
10907,0,1,0
11455,1,0,0
5992,0,0,1
16564,0,0,1
7933,1,0,0
16008,1,0,0
7265,0,1,0
11095,0,1,0
2181,0,1,0
8845,1,0,0
13617,0,1,0
17228,1,0,0
16321,1,0,0
14851,1,0,0
9613,1,0,0
3121,1,0,0
4840,1,0,0
18216,0,1,0
17113,0,1,0
4775,1,0,0
14105,1,0,0
4993,1,0,0
8901,1,0,0
15443,1,0,0
435,1,0,0
4595,0,1,0
14503,1,0,0
2191,0,1,0
2163,1,0,0
9987,1,0,0
16234,0,0,1
3834,1,0,0
13133,1,0,0
13909,0,0,1
9952,1,0,0
3666,0,1,0
6072,1,0,0
2936,0,0,1
6497,1,0,0
5645,1,0,0
15476,1,0,0
8472,1,0,0
15687,1,0,0
10682,1,0,0
10772,1,0,0
8156,0,0,1
10436,1,0,0
16827,1,0,0
12299,0,0,1
9258,0,0,1
4759,1,0,0
8989,1,0,0
14823,1,0,0
17270,1,0,0
2005,1,0,0
15757,1,0,0
14476,1,0,0
17243,0,1,0
3908,1,0,0
781,1,0,0
5398,0,0,1
2687,0,1,0
5017,1,0,0
140,1,0,0
14897,1,0,0
1487,1,0,0
18371,1,0,0
10170,1,0,0
3464,1,0,0
1535,1,0,0
1442,1,0,0
7249,1,0,0
17510,0,1,0
418,1,0,0
16274,0,0,1
12497,1,0,0
17309,1,0,0
3891,1,0,0
8437,1,0,0
9950,1,0,0
5316,1,0,0
12979,1,0,0
14648,1,0,0
8194,1,0,0
10386,0,0,1
12749,0,0,1
16508,1,0,0
16386,1,0,0
12933,1,0,0
2830,1,0,0
11528,1,0,0
15904,1,0,0
16390,1,0,0
14036,1,0,0
17215,1,0,0
14404,1,0,0
12101,0,0,1
10812,0,1,0
4374,1,0,0
