id,predict_0,predict_1,predict_2
11066,1.0,0.0,0.0
,0.0,0.0,1.0
,1.0,0.0,0.0
,1.0,0.0,0.0
18000,0.0,1.0,0.0
,0.0,1.0,0.0
16964,1.0,0.0,0.0
,0.0,0.0,1.0
4795,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
3392,1.0,0.0,0.0
,1.0,0.0,0.0
3795,0.0,0.0,1.0
,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
2881,0.0,1.0,0.0
,1.0,0.0,0.0
1903,1.0,0.0,0.0
,0.0,0.0,1.0
,1.0,0.0,0.0
,1.0,0.0,0.0
5245,0.0,0.0,1.0
,1.0,0.0,0.0
6726,1.0,0.0,0.0
1311,1.0,0.0,0.0
15795,1.0,0.0,0.0
,0.0,1.0,0.0
4315,0.0,1.0,0.0
3393,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
6764,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
13039,1.0,0.0,0.0
,0.0,0.0,1.0
,0.0,0.0,1.0
12331,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
14276,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
,0.0,1.0,0.0
,0.0,1.0,0.0
14638,1.0,0.0,0.0
,1.0,0.0,0.0
6573,1.0,0.0,0.0
,1.0,0.0,0.0
,0.0,0.0,1.0
,0.0,0.0,1.0
,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
2222,1.0,0.0,0.0
,0.0,1.0,0.0
8824,1.0,0.0,0.0
,1.0,0.0,0.0
,0.0,1.0,0.0
,1.0,0.0,0.0
,0.0,1.0,0.0
,1.0,0.0,0.0
6360,1.0,0.0,0.0
7553,1.0,0.0,0.0
,0.0,1.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
13760,0.0,1.0,0.0
,1.0,0.0,0.0
4284,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
,0.0,1.0,0.0
1356,1.0,0.0,0.0
3410,1.0,0.0,0.0
,0.0,0.0,1.0
4830,1.0,0.0,0.0
8998,1.0,0.0,0.0
,1.0,0.0,0.0
18052,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
7539,0.0,0.0,1.0
,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
9529,1.0,0.0,0.0
,1.0,0.0,0.0
3656,1.0,0.0,0.0
,0.0,1.0,0.0
14238,1.0,0.0,0.0
,1.0,0.0,0.0
2682,0.0,0.0,1.0
,0.0,0.0,1.0
,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
7312,1.0,0.0,0.0
,0.0,0.0,1.0
,1.0,0.0,0.0
12971,1.0,0.0,0.0
,1.0,0.0,0.0
10735,0.0,0.0,1.0
,0.0,1.0,0.0
4050,0.0,1.0,0.0
,1.0,0.0,0.0
5943,1.0,0.0,0.0
,1.0,0.0,0.0
,0.0,1.0,0.0
,0.0,1.0,0.0
6482,1.0,0.0,0.0
,0.0,0.0,1.0
9746,0.0,1.0,0.0
,0.0,0.0,1.0
13320,1.0,0.0,0.0
,1.0,0.0,0.0
803,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
15437,1.0,0.0,0.0
12302,1.0,0.0,0.0
,0.0,1.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
12271,0.0,1.0,0.0
,0.0,1.0,0.0
